epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8884999752044678,0.28876161575317383
0,44,,,0.7937391400337219,,0.43628978729248047,,
1,49,,,,0.90234375,,,
1,89,,,,,,0.8999999761581421,0.269472599029541
1,89,,,0.9177391529083252,,0.22183379530906677,,
2,99,,,,0.943359375,,,
2,134,,,,,,0.8895000219345093,0.29075887799263
2,134,,,0.9388260841369629,,0.1688450425863266,,
3,149,,,,0.951171875,,,
3,179,,,,,,0.8884999752044678,0.30641886591911316
3,179,,,0.9568695425987244,,0.12421799451112747,,
4,199,,,,0.974609375,,,
4,224,,,,,,0.8865000009536743,0.35012322664260864
4,224,,,0.9683912992477417,,0.09546441584825516,,
5,249,,,,0.978515625,,,
5,269,,,,,,0.8849999904632568,0.37703728675842285
5,269,,,0.9713478088378906,,0.08292476832866669,,
6,299,,,,0.984375,,,
6,314,,,,,,0.8834999799728394,0.4324217736721039
6,314,,,0.9846956729888916,,0.0515860952436924,,
7,349,,,,0.98828125,,,
7,359,,,,,,0.8840000033378601,0.4827364981174469
7,359,,,0.9891738891601562,,0.03677935153245926,,
8,399,,,,0.994140625,,,
8,404,,,,,,0.8834999799728394,0.5215320587158203
8,404,,,0.9919565320014954,,0.026599038392305374,,
9,449,,,,0.991525411605835,,,
9,449,,,,,,0.8794999718666077,0.609175980091095
9,449,,,0.9949564933776855,,0.017218073830008507,,
10,494,,,,,,0.8794999718666077,0.6612532734870911
10,494,,,0.9969565272331238,,0.01159741636365652,,
11,499,,,,1.0,,,
11,539,,,,,,0.878000020980835,0.40170520544052124
11,539,,,0.9840869307518005,,0.08619813621044159,,
12,549,,,,1.0,,,
12,584,,,,,,0.8769999742507935,0.6334730982780457
12,584,,,0.9970869421958923,,0.016911067068576813,,
13,599,,,,0.998046875,,,
13,629,,,,,,0.8769999742507935,0.7069503664970398
13,629,,,0.9981738924980164,,0.00796814076602459,,
14,649,,,,1.0,,,
14,674,,,,,,0.8774999976158142,0.7328078150749207
14,674,,,0.9988260865211487,,0.005339788272976875,,
15,699,,,,1.0,,,
15,719,,,,,,0.8769999742507935,0.7721927165985107
15,719,,,0.9986956715583801,,0.004812408238649368,,
16,749,,,,1.0,,,
16,764,,,,,,0.8774999976158142,0.7889441251754761
16,764,,,0.998913049697876,,0.0037575012538582087,,
17,799,,,,0.998046875,,,
17,809,,,,,,0.8769999742507935,0.8324810862541199
17,809,,,0.9993043541908264,,0.0033441788982599974,,
18,849,,,,0.998046875,,,
18,854,,,,,,0.8774999976158142,0.8761082887649536
18,854,,,0.998913049697876,,0.003071465529501438,,
19,899,,,,0.9978813529014587,,,
19,899,,,,,,0.8794999718666077,0.9016351103782654
19,899,,,0.9990434646606445,,0.0026904409751296043,,
20,944,,,,,,0.8744999766349792,0.9174575209617615
20,944,,,0.9990434646606445,,0.0028672385960817337,,
21,949,,,,1.0,,,
21,989,,,,,,0.8765000104904175,0.9510131478309631
21,989,,,0.9991739392280579,,0.0028646844439208508,,
22,999,,,,0.998046875,,,
22,1034,,,,,,0.871999979019165,0.9705085158348083
22,1034,,,0.9993043541908264,,0.0024729003198444843,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8755000233650208,1.0047487020492554
23,1079,,,0.9995217323303223,,0.0019417902221903205,,
24,1099,,,,0.998046875,,,
24,1124,,,,,,0.8734999895095825,0.6286167502403259
24,1124,,,0.9843478202819824,,0.11616640537977219,,
25,1149,,,,1.0,,,
25,1169,,,,,,0.8744999766349792,0.7956668734550476
25,1169,,,0.9988695383071899,,0.00607030326500535,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.8755000233650208,0.8696534037590027
26,1214,,,0.9990869760513306,,0.003355385735630989,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.8705000281333923,0.9429411292076111
27,1259,,,0.9990434646606445,,0.0035095021594315767,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8790000081062317,0.9439166784286499
28,1304,,,0.9992608428001404,,0.002572629600763321,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.8794999718666077,0.9973167777061462
29,1349,,,0.999434769153595,,0.0018297191709280014,,
30,1350,0.8676400184631348,1.0793209075927734,,,,,
