epoch,step,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,0.90625,,,
0,99,,0.90625,,,
0,149,,0.9140625,,,
0,187,,,,0.8996666669845581,0.34104642271995544
0,187,0.8818749785423279,,0.4314233660697937,,
1,199,,0.9453125,,,
1,249,,0.90625,,,
1,299,,0.91796875,,,
1,349,,0.91015625,,,
1,375,,,,0.9120833277702332,0.3086585998535156
1,375,0.9136041402816772,,0.30238640308380127,,
2,399,,0.9375,,,
2,449,,0.91015625,,,
2,499,,0.91015625,,,
2,549,,0.91015625,,,
2,563,,,,0.9037500023841858,0.33124223351478577
2,563,0.9188125133514404,,0.2886959910392761,,
3,599,,0.921875,,,
3,649,,0.9375,,,
3,699,,0.9296875,,,
3,749,,0.921875,,,
3,751,,,,0.8932499885559082,0.37514933943748474
3,751,0.9214375019073486,,0.2824877202510834,,
4,799,,0.94921875,,,
4,849,,0.9296875,,,
4,899,,0.90234375,,,
4,939,,,,0.9124166369438171,0.32774150371551514
4,939,0.9214791655540466,,0.2765994966030121,,
5,949,,0.91015625,,,
5,999,,0.94140625,,,
5,1049,,0.921875,,,
5,1099,,0.92578125,,,
5,1127,,,,0.9154166579246521,0.3095204532146454
5,1127,0.9240416884422302,,0.2725793719291687,,
6,1149,,0.953125,,,
6,1199,,0.96875,,,
6,1249,,0.9453125,,,
6,1299,,0.92578125,,,
6,1315,,,,0.9166666865348816,0.3070905804634094
6,1315,0.9240000247955322,,0.27076417207717896,,
7,1349,,0.92578125,,,
7,1399,,0.94140625,,,
7,1449,,0.92578125,,,
7,1499,,0.8671875,,,
7,1503,,,,0.9205833077430725,0.3072264492511749
7,1503,0.9268541932106018,,0.2639784812927246,,
8,1549,,0.91015625,,,
8,1599,,0.9375,,,
8,1649,,0.91015625,,,
8,1691,,,,0.9097499847412109,0.3434649705886841
8,1691,0.9253125190734863,,0.26568999886512756,,
9,1699,,0.9453125,,,
9,1749,,0.93359375,,,
9,1799,,0.91796875,,,
9,1849,,0.94140625,,,
9,1879,,,,0.9178333282470703,0.30989283323287964
9,1879,0.9264583587646484,,0.2612449824810028,,
10,1899,,0.91796875,,,
10,1949,,0.921875,,,
10,1999,,0.92578125,,,
10,2049,,0.92578125,,,
10,2067,,,,0.9163333177566528,0.31093859672546387
10,2067,0.9258750081062317,,0.2621002495288849,,
11,2099,,0.93359375,,,
11,2149,,0.94140625,,,
11,2199,,0.90625,,,
11,2249,,0.93359375,,,
11,2255,,,,0.8980000019073486,0.36849939823150635
11,2255,0.9272916913032532,,0.2593831717967987,,
12,2299,,0.94921875,,,
12,2349,,0.9453125,,,
12,2399,,0.93359375,,,
12,2443,,,,0.9178333282470703,0.3154183030128479
12,2443,0.9281666874885559,,0.2574373483657837,,
13,2449,,0.92578125,,,
13,2499,,0.95703125,,,
13,2549,,0.9609375,,,
13,2599,,0.92578125,,,
13,2631,,,,0.9122499823570251,0.3262369930744171
13,2631,0.9271666407585144,,0.2574078440666199,,
14,2649,,0.92578125,,,
14,2699,,0.92578125,,,
14,2749,,0.92578125,,,
14,2799,,0.92578125,,,
14,2819,,,,0.9165833592414856,0.31631433963775635
14,2819,0.9272500276565552,,0.25416693091392517,,
15,2849,,0.92578125,,,
